id	timestamp	code_sha256	parameters	basis	precision	quotient	rigorous_status	wall_seconds	peak_memory_kb	notes
BV-AQUARTER-D16-P3-SINGLELABEL-SCREEN	2026-09-02T02:34:06+02:00	cad9677aaa25030eebb78963f5d6aaa29469221268ee6eb088fc131e3af72190	D16-core-certificate-SHA=59715ddffa483c696c035634a81c3cc8ffe882e9d6eaceec74bea23996b72d62;k=48;A=1/4;epsilon=3/400;alpha=103/400;eta=97/400;delta=7/250;B_all=103/400	span{certified-D16-vector,(1-P1)^a*P3} separately for a=0..13	Fraction exact cross/self forms;Decimal140 two-dimensional root;36-significant-digit scalar;exact Fraction contraction	best-exact-gain=9.63053505328424176895654672708e-16	exact particular-vector gains;not a full 321-space optimum;full P3 append stopped by gate	168.35	115060	All 14 gains lie 9.25998e-16..9.63054e-16; best at a=0. Artifact SHA 7f48172a0cf4080b50c2faf83e7ae6e3b7807e14e1299afa4defae33df3bc88e; explicit 321-label basis SHA 8d4037c26fbf284b012908ee36651f650620509a6ead12c30cf7c93d44a2b45c; 1210 no-ones-cache hits and 3102 exact new moments. Broad odd D12 and coherent P3 append are retired as immediate closing routes; no finite-space upper bound is claimed.
BV-AQUARTER-D16-EPSILON-BASELINE-DIRECT-SANITY	2026-09-02T02:46:34+02:00	96495079a18039a0a7b0522e83ac455cbe5ff144598fff6b382f2c2953958de9	D16-certificate-SHA=59715ddffa483c696c035634a81c3cc8ffe882e9d6eaceec74bea23996b72d62;k=48;A=1/4;epsilon=3/400;R=103/400;V=97/400;B_all=R	certified D16 rational polynomial;307 labels	Fraction exact direct square/marginal orbit collection;no matrix/cache	0.981278109819760620341348914562	exact baseline forms reproduce certificate bit-for-bit;epsilon sweep preempted after sanity	4.37	34980	5825 exact F-square and marginal-square orbit terms; low-k direct-vs-matrix self-test PASS. Artifact SHA 36e3226062a832c7a0fbd45a78ef4aaea941c6e24c5e838b26187182fa3ca473. Any rational 0<epsilon<1/4 is analytically valid in the direct-BV family, but dead-core deletion was prioritized before a sweep.
BV-AQUARTER-D16-DEAD-CORE-EXACT	2026-09-02T02:46:34+02:00	a277e1d5c99b9f890da2a33e5aee95fb03d2916fb9ad8713653be4895ed70aff	D16-certificate-SHA=59715ddffa483c696c035634a81c3cc8ffe882e9d6eaceec74bea23996b72d62;k=48;R=103/400;V=97/400;C={S<R and S-ti>V all i}	piecewise F'=F*1_{C-complement};J exactly unchanged	Fraction exact slice inclusion-exclusion over 915 orbit families;independent k2 triangle/monomial/empty-core tests	I_C/I=2.42097352098380101366747759508e-8	exact particular-piecewise-vector negative;J-invariance exact;crossing gate fails	178.67	250144	Threshold is .018721890180239379658651085438, about 7.73e5 times larger; new exact q .981278133576244401426279108596. Artifact SHA 2b9181be66e3171798e947c22be42a2bbf33a895fd777553bcfc29a7a84db5d6; 5825 square terms,915 orbit families,26524 unique exact scalar slice integrals. Dead-core deletion of this D16 F is retired.
BV-AQUARTER-D16-RADIAL-TWO-AMPLITUDE-EXACT	2026-09-02T02:49:38+02:00	67b7a77555f8022d2445d51537d05d3592af34c252353f63132fd44a14d93da8	D16-certificate-SHA=59715ddffa483c696c035634a81c3cc8ffe882e9d6eaceec74bea23996b72d62;k=48;R=103/400;V=97/400;B_all=R	F=aF0 on S<=V and bF0 on V<S<R;2 dimensions	Fraction exact inner/outer I and common-residual marginal forms;Decimal160 2x2 solve;51-significant-digit rational amplitude;exact contraction	0.981285889609555541126292553565	exact particular-piecewise-vector negative;RR and amplitudes(1,1) exact baseline matches;normal/-O artifact identical	10.14	39008	Exact gain .000007779789794920784943639002631; amplitudes [1,.98700279610351133526471897542473812763044719082939]; inner region carries .94430059221485685 of I. Artifact SHA33fe5d555e736fe5ea3826d569477414fadd2d8a9defc2eaa35718a4f06f82ca. The radial kink is real but far below the .0187 target shortfall.
BV-AQUARTER-D16-EPSILON-FIXED-EXACT	2026-09-02T02:49:38+02:00	96495079a18039a0a7b0522e83ac455cbe5ff144598fff6b382f2c2953958de9	D16-certificate-SHA=59715ddffa483c696c035634a81c3cc8ffe882e9d6eaceec74bea23996b72d62;k=48;A=1/4;delta=7/250;each point R=B_all=A+epsilon,V=A-epsilon	fixed certified D16 rational polynomial at 29 rational epsilon points across coarse/refined scans	Fraction exact direct square/marginal orbit contraction;baseline forms bit-for-bit	best e=19/2500:q=0.981284727720319070897624475028	exact fixed-vector forms;all supports analytically valid;no reoptimized ordering claim	54.26 coarse + 46.4 refined	103812	Exact gain over e=3/400 is .000006617900558450556275560465549. Coarse artifact SHA96171e9429ea1459a42e4e2a1d526a2f256c819d3b0cb2126bf702122883386f; refined SHA3efa2fd15f66f732be4c8e96d5c44b0647d0aa3b553a9cba95ee0b9f3e50e00b. Any fixed rational 0<e<1/4 retains the direct-BV proof; this fixed-vector lever is strongly narrowed.
BV-AQUARTER-D16-DEAD-CORE-INDEPENDENT-AUDIT	2026-09-02T02:55:32+02:00	e4d8c55bd3380623cbc946ebd7b5e07c6b80c6e2302e3ceb64e02248688c8586	D16-certificate-SHA=59715ddffa483c696c035634a81c3cc8ffe882e9d6eaceec74bea23996b72d62;k=48;R=103/400;V=97/400	literal 5825-term square;coordinate-selection inclusion-exclusion	Decimal100 direct reconstruction	0.981278133576244401426278854424	independent nonrigorous arithmetic agreeing with separately exact artifact;4 exact low-k tests PASS normal/-O	502.15	unknown	I_C/I=2.420973520983800987765406775714e-8. Formula is independent of producer orbit-family generating function. Test SHA93c30c74fa57e90047437cfb2c71900e5a96a0c6f7713e665439de21bc4e354e.
BV-AQUARTER-D16-RADIAL-SPLIT-INDEPENDENT-AUDIT	2026-09-02T02:55:32+02:00	847f4edc6835b54637abdf21906ee8b0d0eb92c173c5ac247ff6833dd5c94403	D16-certificate-SHA=59715ddffa483c696c035634a81c3cc8ffe882e9d6eaceec74bea23996b72d62;k=48;R=103/400;V=97/400	F0 split on S<=V and V<S<R;independent 2x2 forms	Fraction exact RR/VV/VR forms;Decimal100 generalized solve	0.981285889609555541126292553565	exact forms with baseline M2 delta exactly zero;discovery eigenvalue agrees with separately exact rational-vector artifact;4 tests PASS normal/-O	34.28 exact forms;18.17 decimal	unknown	Reconstructs 5825 denominator terms,307 marginal terms at each radius, and 17388/17388/31795 cross products without serialized matrices. Test SHA93c30c74fa57e90047437cfb2c71900e5a96a0c6f7713e665439de21bc4e354e.
BV-AQUARTER-D16-OUTERSHELL-EVEN-D8-SINGLE-SCREEN	2026-09-02T03:00:00+02:00	1bd1faf376d103ed6b19e1df03402b64e8ea917ae29ae4b37cfe9e50d1de381a	D16-certificate-SHA=59715ddffa483c696c035634a81c3cc8ffe882e9d6eaceec74bea23996b72d62;k=48;R=103/400;V=97/400	span{certified D16 vector,1_{V<S<R}G} separately for all 40 G in even_basis(8)	Fraction exact cross/self forms;Decimal160 2x2 roots;rational scalar exact contraction	best-q=0.981278114054994620277925518594	exact particular-vector quotients;sum of gains is explicitly heuristic;not a block optimum	14.64	50996	Top exact gain 4.2352339999365764e-9 at label (0,(4,4)); sum of 40 positive individual gains 3.7835547604839625e-8. Artifact SHA afe1d7833b9ab3b0303e6ad1aedc469535dffe182330afc86fd22ecb1b1dc407; RR and scalar-radial regressions exact.
BV-AQUARTER-D16-OUTERSHELL-EVEN-D8-BLOCK-EXACT	2026-09-02T03:01:00+02:00	d904271dffd09fc3e746edecaba34388511173f6aed4d6fd2ba22637b700979e	D16-certificate-SHA=59715ddffa483c696c035634a81c3cc8ffe882e9d6eaceec74bea23996b72d62;k=48;R=103/400;V=97/400	certified D16 vector plus all 40 outer-shell even labels through degree8;dim=41	Fraction exact 41x41 matrices;Decimal100/160 Cholesky-Jacobi discovery;56-significant-digit vector exact contraction	0.981280492785219624773346179476	exact particular-vector negative;optimality non-rigorous;cache-free reconstruction AUDIT PASS normal/-O	18.97 build;9.91 checker	54488 build;45252 checker	Exact gain 0.000002382965459004431997264913655; shortfall .018719507214780375226653820524; 100/160 solves agree through 67 decimals. Matrix SHA 0dfcad448f99f1d9828298586b24d2deeb9456cba4f33f5bf4d4a16ed703fa2f; artifact SHA a69673e03933355819ad96f7ab85586f3a65a7b6abee67145d96368257c3ae27; checker SHA e017dfc9b28b405310a24aabe14797455a0fb0f55ef51f878b957f04733dae2d. Normal/-O builders byte-identical. Fails 0.001 continuation gate by about 420x; D16 expansion stopped.
AFFINE-D4-INDEPENDENT-EXACT-UNSCALED-COST-PROBE	2026-09-02T03:59:34+02:00	9c21d73af25f63ad16c62a2a1935a9cfd3a8d134d7b7ada2620eddc12e1c3d3e	k=48;C10;alpha=79247/300000;eta=76247/300000;delta=1/100;B1=B2=3/20;B3+=97/625;cutoff=10	12-term capped D4 base times exact 1/L/Z multiplier	Fraction exact;unscaled rational coefficient tables	NA	operator-aborted cost probe;no mathematical value emitted	>720	unknown	The cache-free exact tagged checker was deliberately interrupted after more than 12 minutes because unscaled coefficient denominators made it unsuitable as a fair cost model and it was competing with the decisive D12 Decimal run. A separate integer-LCM-scaled D4 benchmark was predeclared; no quotient or sign is inferred from this aborted run.
AFFINE-BATCHED-EXACT-CORE-REGRESSION	2026-09-02T04:24:00+02:00	d824ab8ebb59da4cd94da7b17350c36ba5888bc2260fdeb8e976f4f825405ee8	k=2,3;alpha=2/5;eta=3/10;delta=1/10;signed-deterministic-fixtures	residual-orbit bases through degree3 times arbitrary rational 1/L/Z stratum multipliers	Fraction exact;16 ordered branches;forward/reverse;workers1/2;normal/-O	literal-oracle equality	exact regression only;not a target quotient	50.9 total normal+optimized	unknown	Separate batched exact J path, tests SHA 9e6ff1018b86b08f7bb2f019f8cc37f43c2225afad6ff403453c72f7aa8a3b69. Eight seeded random cases plus one fixed signed case match the literal expanded-polynomial oracle exactly in every requested order/worker mode. D12 staged driver prepared at SHA 2937e53868812bcece11aa039e10b81fdf9412d84742ab9158831d3b4f18215f but not launched or audit-accepted.
AFFINE-D4-UNIFORM-MC-VARIANCE-FALSIFICATION	2026-09-02T04:28:00+02:00	11114e64c3dfbbe68cb799b1e2a0a6c91200447d887be029c3b1be4829280db0	k=48;C10;cutoff=10;four-independent-seeds	12-term capped D4 base times exact affine multiplier	float64 uniform-simplex Monte Carlo;distinguished-coordinate integrated analytically;500000 I and J samples per replicate	0.7561--4.3806 across replicates	heuristic diagnostic falsified by variance;known exact comparator q=0.9348269207	8.33	150048	Plug-in quotient standard errors were 0.34--3.35 and the four estimates were mutually incompatible. Uniform simplex sampling is retired for D12 sign discovery unless a materially new importance distribution is derived; no D12 inference was made.
AFFINE-D4-INDEPENDENT-EXACT-INTEGER-BENCHMARK	2026-09-02T04:26:08+02:00	71becffba9913c7f4933d5b4be50629fbf4d7311b428784146c82d9dc65350dc	k=48;C10;cutoff=10;base-SHA=2b11a18c;affine-SHA=ffa607e0	12-term capped D4 base times exact cutoff-10 1/L/Z multiplier	Fraction exact after separate base/affine integer-LCM scaling	0.934812656645828990698336238451	exact negative particular-vector quotient;direct tagged traversal equals independent matrix contraction bitwise	22.768 I + 1294.766 J	65928	Output SHA 25bda4a816c2752fa70815302914eeab5cf8f939de26cc8fa2fad949c8c30537; I-stage SHA 88a843f9372d1cae191e90fb340c35cc1b28895f2894c900f5a20a16fa37b4ee. Root independently re-contracted the artifact. Unscaled margin -0.0651869237869684943.... A conservative 695/19 squared marginal-pair projection is about 20 serial days for unbatched D12 before higher-degree costs, so no unbatched D12 launch.
AFFINE-DYADIC-RESULT-DRIVER-LOWK	2026-09-02T04:39:00+02:00	8033adfea85eaaa33e3a7efe8553a0f6d9b2402ad63a4f31de3fde54e2fd3f79	k=3;alpha=2/5;eta=3/10;delta=1/10;signed-rational-fixture	five-term residual-orbit base times arbitrary signed 1/L/Z stratum multiplier	384-bit integer-directed dyadic enclosure;forward/reverse count order;normal/-O	independent exact I and kJ contained	rigorous low-dimensional driver regression;not a D12 result	7.07 total normal+optimized	unknown	Test SHA 4de32d1f15effdf61e1121b6cdcd148a523708515333eeac2ede165e86623fa6. Target preparation separately validates 272 labels,16 multiplier triples,206-bit affine LCM and 5929 frozen orbit-product pairs in 1.02s/46892KiB. D12 launch remains gated on a positive discovery sign and hostile driver audit. Strict stage-field/Boolean-width rejection, precision bounds, and protected-output collision checks were added before freezing this SHA.
AFFINE-D12-DYADIC-GROUP-CONSTRUCTION-COST-PROBE	2026-09-02T04:40:00+02:00	8033adfea85eaaa33e3a7efe8553a0f6d9b2402ad63a4f31de3fde54e2fd3f79	k=48;C10;D12;P=512;cutoff=11	272-term integer base times integer-scaled affine multiplier	integer-directed dyadic;build square/marginal groups only	NA	operator-ended dry cost probe;no integral or mathematical value emitted	>30	unknown	Target preparation alone was 1.02s, but forming the full interval square plus marginal groups did not finish within the 30s probe. No process remained afterward. This confirms that target algebra is not a lightweight pre-sign diagnostic; the full run remains gated on the completed Decimal quotient.
AFFINE-DYADIC-PROVENANCE-REPAIR-LOWK	2026-09-02T05:03:00+02:00	bf0ad4b3c1288c1d2df67e92f9ebe9e63613b9dcd2892c3f96522217d920677b	k=3 signed fixture;target-input-loader k=48 D12	five-term signed low-k base;target loader checks original and 272-term scaled vectors	384-bit dyadic normal/-O;exact source/scaling reconstruction	literal exact I and kJ contained	rigorous low-dimensional regression;target quotient absent	14.60	unknown	Repairs hostile counterexample in SHA8033adfe: pins original SHA719c and ordered payload SHA8ea54; reconstructs 714-bit LCM, all 272 scaled coefficients, primitive content, and requires 5929 orbit products. Existing test SHA4de32d1f passes normal/-O; no D12 integration launched.
AFFINE-INDEPENDENT-DYADIC-ADAPTER-LOWK	2026-09-02T05:09:00+02:00	b252756a7c76959d691dc1bbb233dfeeba0a6be9e335c8fe4261037915ab41f6	k=3;alpha=2/5;eta=3/10;delta=1/10;signed-rational-fixture	five-term residual-orbit base times arbitrary signed 1/L/Z multiplier	256-bit integer-directed coefficient enclosures through independent tagged partition-radial recurrence	literal exact I and kJ contained	rigorous low-dimensional adapter regression;target driver unlaunched and unaudited	16.46	unknown	Test SHA7440ab69706d4a11c827175a7d3561bdaa504b9242c9999efecd1ac06a17972d passes normal/-O. This algebra path does not use the grouped Decimal face/marginal evaluator and is reserved as a second reconstruction if the discovery sign is positive.
AFFINE-DYADIC-D12-DRIVER-PRELAUNCH-AUDIT	2026-09-02T05:25:00+02:00	bf0ad4b3c1288c1d2df67e92f9ebe9e63613b9dcd2892c3f96522217d920677b	k=48 target counts plus signed k=2,3 hostile fixtures	fixed cutoff-11 affine D12 input parser and grouped direct-I/J result route	exact provenance/mutation tests;384-bit dyadic low-k enclosures;normal/-O	NA	AUDIT PASS pre-launch scope only;no target integral or quotient	unknown	unknown	Report SHA7315f5dcde8d171eb56aeaf129cefbe2f66f4bc88ab2ac755983c9055af3567a; independent suite SHAc3f16fabb32c23b0081477a2739ca1b61f2436713e70c4268571e9c4d588fce7, six tests normal/-O. Repaired source-scaling counterexample; verifies 312 I faces, 1200 J domains, factor48 once, reverse order, serialization, collisions, and strict lower-margin gate. No D12 sign.
AFFINE-D4-INDEPENDENT-DYADIC-COST-PROBE	2026-09-02T05:24:00+02:00	cb9aca111037723c7ced23f14f343ddeecb5213d5e25e2e3a66cdc9a4f7dc763	k=48;C10;D4;P=512;cutoff=10	12-term integer-scaled base times integer-scaled affine multiplier	independent tagged partition-radial dyadic enclosure	NA	operator-aborted resource probe;no integral or quotient emitted	>300	unknown	Stopped immediately after host swap rose from3.4 to3.8GiB with three production computations active; available RAM recovered to2.3GiB. No artifact or sign. Do not rerun while the capped-gradient and affine-transfer processes overlap; this exact experiment ID is retired.
AFFINE-D4-BATCHED-EXACT-BENCHMARK	2026-09-02T05:25:00+02:00	3d0bc836229a9e1dc7fe22717ad6f9bc1c2f9a41d17a94e0516584e0727f19ec	k=48;C10;D4;cutoff=10;I-stage-SHA=88a843f9372d1cae191e90fb340c35cc1b28895f2894c900f5a20a16fa37b4ee	12-term integer-scaled capped D4 base times integer-scaled affine multiplier	Fraction exact batched tagged J	0.934812656645828990698336238451	first arithmetic pass matched exact reference but wrapper rejected its own incorrect face-count gate; corrected rerun operator-aborted; no artifact	unknown	unknown	First pass completed the exact kJ/reference equality before an audit found that r=15 has an active small branch, so the expected face count is16 rather than15. Corrected wrapper SHA3d0bc836; its rerun was terminated by explicit resource policy (SIGINT exit130) while the host was swapping. No corrected output artifact exists; only the first arithmetic pass is recorded, and no new mathematical claim is inferred.
AFFINE-INDEPENDENT-DYADIC-D12-DRIVER-PRELAUNCH-AUDIT	2026-09-02T05:25:00+02:00	7e2ed20a68e3c3e95a9566b32cae3d403949a79a3a81adfa61b8dab833b640b9	k=48 target face enumeration and staged gate;uncertain signed k=2 fixture	pinned 272-term cutoff-11 target loader;three-term uncertain low-k orbit basis	256-bit integer-directed dyadic normal/-O plus exact literal oracle	NA	AUDIT PASS pre-launch scope only;no target D12 integral or quotient	2.61 normal;2.28 optimized	unknown	Report SHA5c42829e3d412a903f987057b67322ef389468894ab6f6c282eafb3eb0ea3a85; hostile test SHA1a62de64f491473275926a2e3616f1216c36e2c247fef01f911b2bfa841f8f6b, seven tests normal/-O. Confirms complete pinned import closure and 714-bit source-to-integer reconstruction, active counts0..15 in both orders, zero-containing coefficient retention, uncertain-box containment against five independent exact specializations, canonical stage serialization, protected paths, factor48 exactly once, and strict lower-margin gate. Target traversal deliberately unlaunched; theorem_ready remains false.
C10-ANALYTIC-EXACT-RERUN	2026-09-02T05:39:24+02:00	27c1ae65e08bdc43434b26dc078257c43aeeda115286f788ad50f2baf7d37863	k=48;A=77747/300000;epsilon=1/200;delta=1/100;B1=B2=3/20;B3+=97/625	all Definition-1 counts and specialized direct-HB Type0/IIa/IIb/IIc/III branches	Fraction exact;normal and -O	NA	C10 HOSTILE ANALYTIC EXACT PASS in both modes	<1 each	unknown	Re-run after source-provenance update; includes first-empty count16, all exact inward margins, repaired IIb minima and IIc closed-window packing cases. Does not evaluate I or J.
TUPLE-48-236-INDEPENDENT-RERUN	2026-09-02T05:39:24+02:00	645d3e61f587f9f961b3c72037a0f4499ac29c85c64be601b6b14e6a4b898f78	48-tuple source SHA=adfe71549293c2ff0efda34397e46c72269b2895ae23fc2fdfc34ccacc579ba9	literal tuple plus every prime q<=48	exact integer;normal and -O	NA	PASS size48 distinct diameter236 and all modular witnesses	<1 each	unknown	Independent parser verifies min0 max236 and missing residues 2:1,3:1,5:2,7:2,11:9,13:10,17:4,19:13,23:13,29:15,31:1,37:7,41:10,43:2,47:5.
AFFINE-C10-D12-CANDIDATE-IDENTITY-AUDIT	2026-09-02T05:41:20+02:00	a24dbe781c2311420a5c8fa2366ee5959f28ddcd3e62aa69f94976eb78b8a950	k=48;C10 support;linear cutoff=11;proof SHA=30532156254193456faa6f8d1c9e6ac53395d7a46d633410bb749a0557773c2f	272 ordered no-ones D12 coefficients times 16 effective 1/L/Z affine triples	exact Fraction/static loader reconstruction;normal and -O	NA	AUDIT PASS candidate identity only;no target integral or quotient	<1 each	unknown	Both frozen dyadic loaders agree bitwise on ordered base identity SHA8a231352 and effective affine identity SHA47a31aac; verifies R/L/Z definitions, all eight cutoff-overwritten raw channels, support, face shifts, small/large J formulas, and factor48 once. Current proof edit was outside Section10 (BFI correction-note row/citation item5); Section10 reread unchanged.
C10-PROOF-COMPLETENESS-REAUDIT	2026-09-02T05:51:04+02:00	a5928d97ea7e0fc53ae7fc7807d47d783b0b0e323d2bdbab24696ffe40303ac5	proof SHA=30532156254193456faa6f8d1c9e6ac53395d7a46d633410bb749a0557773c2f;exclude only CERT-C10-48	full analytic dependency chain;weighted/truncated rho;BFI correction note;boundary/subsequence;tuple	static primary-source line audit plus exact arithmetic/tuple reruns normal and -O	NA	AUDIT PASS EXCEPT CERT;no target integral or quotient	<1 arithmetic checks;static audit	unknown	All four Proposition-1 inputs and repaired c2=0 implication complete; BFI note leaves Theorem0 intact; explicit disjoint x_j=3^(100j+1) validates the equality-boundary subsequence and liminf step; tuple size48/diameter236/admissibility independently passed. The sole excluded mathematical assertion is I>0 and 48J-I>0.
C10-EPS0035-NOONES-D4	2026-09-02T06:30:00+02:00	c01631dc06e49a23a2441f9049a9ac428905c67f28736b675e401de7f43c1a5a	k=48;A=77747/300000;epsilon=7/2000;alpha=78797/300000;eta=76697/300000;delta=1/100;B1=B2=3/20;B3+=97/625	12-dimensional no-ones D4 capped basis	Decimal160/240 discovery;Fraction exact rationalized vector;independent grouped Fraction contraction	0.896837259628928073309820817264039399061736363856615316724050	exact particular-vector forms;negative target margin;generalized-eigenvalue optimality non-rigorous	1434.15 matrix plus 78.58 grouped	96508	Cache-free 78-entry matrix SHA868307f366effe807c70532463b923b94a80193903b885ab36bd311607f33fc4; result SHA7a5e9fd3; grouped SHA65fc03c9; exact shortfall .1031627403710719266901791827359606009. Exact gain over epsilon=1/200 D4 particular vector is .0004695812861454444982065546334190519. All Definition-1 margins and epsilon cancellation pass normal/-O. No D12 inference.
C10-D4-AFFINE-RESIDUAL-ALL39	2026-09-02T07:05:00+02:00	5f44d4fd533c83a9fd996e4406d5197bd6433271ee4b2186eff9fce82520ec62	k=48;C10;cutoff11;39 effective coordinates	matrix-free Ac,Bc,A_jj,B_jj for every effective affine coordinate	Fraction exact against stored 48-coordinate matrix	0.9348267737519821446627090666678435138632476100309	exact cross/diagonal oracle match;baseline quotient only;not target sign	318.71	40848	Artifact SHA097cae2a; 312 I faces,1200 J domains. No 39x39 matrix built. Later source edit only strengthened target baseline loader; integration core unchanged. All-coordinate D12 projection ~24h, so target version is NO-GO.
C10-D4-AFFINE-RESIDUAL-BOUNDARY	2026-09-02T07:15:00+02:00	49dd0a934d011e67200653248d8442e6d6f6b1bbe98a08e6be26bb3afc12ed98	k=48;C10;cutoff11;coordinates=11:1/L/Z,12:1,13:1	five matrix-free cross/diagonal affine directions	Fraction exact plus Decimal100 oracle comparison	0.9348267737519821446627090666678435138632476100309	exact D4 cross/diagonal match;selection only;no D12 sign	31.37 exact;10.20 Decimal100	39760	Exact artifact SHA22523e10; Decimal artifact SHA369065fb; 45 I faces, common r10..13,222 J domains. Exact diagonal-normalized residual proxy share .99999811418 and >999998/1e6. Conservative D12 boundary projection2.6h/.68GiB; conditional launch held pending baseline/resource go.
C10-D12-BAND-SPARSE-PREOUTPUT-AUDIT	2026-09-02T07:25:00+02:00	e1545435f0c7ad22a17115ac46c291436c1ead5101fd3de6d2a80ab65bc9c257	k=48;C10;20 compressed channels;target output absent	12 individual D4 labels plus exact degree bands5..12;272 ordered labels	Fraction exact low-k matrices,target constant oracle,static provenance mutations;normal/-O	NA	SCOPED ALGEBRA AUDIT PASS;producer provenance counterexample;no target quotient	3.72 normal;4.07 optimized	21232 standalone target-constant oracle	Report BAND-OPERATOR-SPARSE-AUDIT.md; postprocessor SHAdbd0d47f; hostile test SHAbbe1b56d,8/8 normal/-O. Exact factor48,312 I faces,1200 J domains,serial/fork equality,695-component owner reconstruction. Producer permits output alias after end-hash gates; actual invocation's source,bands,baseline,operator,output resolve pairwise distinctly and output remains absent. One gradient cannot determine finite-step quotient; consumer emits only a rational trial needing independent reevaluation or explicit no-claim.
GENERAL-MINORANT-KFREE-SLIVER	2026-09-02T07:26:23+02:00	e65aa613b9a84ce9faa049d5c8654363a50ee007fdce3fb7e3749da7105cfb18	k=48;A=521/2000;epsilon=37/10000;eta=321/1250;delta=7/1250;B_m=21/2500;xi1=3989/10000;xi2=xi3=4001/10000;c2=24	exactly-one-large K-free singleton indicator;explicit symmetric polynomial-orbit extension family	Fraction exact;normal/-O byte-identical;literal k2/k3 factor tests	0.2659999999999999999999999999999999999999930594220721091710564	GEOMETRIC AUDIT PASS;singleton exact negative;THEOREM_READY=false	<1 each	unknown	Report GENERAL-MINORANT-K-SLIVER.md SHAe5a6bd96; exact K=0; c1<1/299000000; signed criterion <=48J/I<133/500. Open J fiber has U-eta_C10=299/150000 and alpha-alpha_C10=13/300000. Printed scalar/repaired omega>=0 capacity arithmetic passes, but high-gamma Type-I role swap lacks SW for alpha and signed c2>0 Proposition1 is unaudited; no unconditional sieve claim.
C10-D12-AFFINE-TRANSFER-DISCOVERY-AUDIT	2026-09-02T07:46:51+02:00	1607c4963019a56c512ed15185c507326ec8c969046e4f45f9c264a0450b9973	k=48;C10;Decimal100;cutoff11;result SHA=e83d3610b8130d743757a5f01aacc6ff2d2b2acd3128e5ff21b9a01cfa53d8da	one transferred 48-coordinate D4 affine multiplier on integer-scaled 272-term D12 polynomial	independent static Decimal100 recontraction;normal/-O byte-identical	0.9671692127936067321469619048809532704996719782235687810561380	DISCOVERY-OUTPUT AUDIT PASS;negative margin;rigorous=false;theorem_ready=false	<1 each	unknown	Report AFFINE-D12-DISCOVERY-OUTPUT-AUDIT.md SHA4eff92fe. Exact frozen D=9.404805046184364933993801445964141570663344888014190056715425272135294022457997898153502271689941759E+311; M=-3.08767153188892494880953499203069744141460075903832721986233809810780371568296760694908955649202020E+310. First checker run exposed auditor-side stage-driver-vs-transfer-driver SHA conflation; repaired with separate exact closures against same output bytes. Five-direction residual D12 run retired by explicit heuristic gate, not an upper bound.
C10-D12-AFFINE-D4-TRANSFER-NEGATIVE	2026-09-02T07:44:01+02:00	91d1b4ad0c675ccfe36100166bee20bb4007af49e1d0cfe618c8c82c8857f354	k=48;alpha=79247/300000;eta=76247/300000;delta=1/100;B1=B2=3/20;B3+=97/625;cutoff11	integer-scaled 272-term no-ones-D12 polynomial times transferred exact D4 per-R span{1,L,Z}	Decimal100 direct grouped traversal;input,multiplier,I-stage,and full local arithmetic closure pinned	0.9671692127936067321469619048809532704996719782235687810561380108925883953316516260403891506696291930	non-rigorous discovery;negative target margin;all serialized provenance/count/finite gates PASS;theorem_ready=false	15305.696 J plus 3556.832 staged I	335768	Result SHA e83d3610b8130d743757a5f01aacc6ff2d2b2acd3128e5ff21b9a01cfa53d8da; I=9.404805046184364933993801445964141570663344888014190056715425272135294022457997898153502271689941759E+311; 48J=9.096037892995472439112847946761071826521884812110357334729191462324513650889701137458593316040739739E+311; margin=-3.08767153188892494880953499203069744141460075903832721986233809810780371568296760694908955649202020E+310; 695 marginal components,1200 J domains; input SHA8650e44c,multiplier SHAffa607e0,I-stage SHA96c9b89b. Particular transferred candidate only, not D12 affine optimum.
C10-D12-BAND-SPARSE-GRADIENT-MP100	2026-09-02T08:11:14+02:00	e1545435f0c7ad22a17115ac46c291436c1ead5101fd3de6d2a80ab65bc9c257	k=48;C10 exact capped support;sourceSHA=719c656e;bandsSHA=29d38a9e;workers=2	20 compressed channels:12 D4 labels plus exact degree bands H5..H12;272 ordered labels	Decimal100 sparse/SoA value+gradient traversal	0.9709698476337895741123900041395560037415645658885284268990606553111004499803962740977569765764382998	raw producer REJECTED solely on redundant gradient-halves exact-equality gate;all substantive gates PASS;discovery only	32208.7966	441872	Raw artifact SHA0ac99ee5a72a83576eaf92ad203280dd0359b290a5c1562652bf9be1259d644d; I=10169.193s,J=22039.604s,parent peak46112KiB. Four A-half and five B-half entries differ from gradient/2 by one final Decimal ulp; max relative3.7532e-100. Euler relative4.0843e-61/1.9499e-61; baseline/forms/counts/buckets/dependency gates PASS. Byte-pinned recovery artifact SHA6411f11d has independent exact-integrator and small-delta scoped passes; no projected trial or scalar claim emitted.
